dataset_id,treat_id,trials,Y_obs,Y_mis,treat
159,2,24893,435,413,Treatment
159,1,25107,414,443,Control
160,2,25061,432,455,Treatment
160,1,24939,428,439,Control
161,2,24941,446,416,Treatment
161,1,25059,441,442,Control
162,2,25015,397,437,Treatment
162,1,24985,443,435,Control
163,2,25142,438,439,Treatment
163,1,24858,447,447,Control
164,2,24848,451,463,Treatment
164,1,25152,412,433,Control
165,1,24951,456,429,Control
165,2,25049,467,453,Treatment
166,2,24829,415,429,Treatment
166,1,25171,419,405,Control
167,2,25167,451,433,Treatment
167,1,24833,442,448,Control
168,1,24950,471,433,Control
168,2,25050,462,421,Treatment
169,1,24927,407,428,Control
169,2,25073,474,438,Treatment
170,1,25176,461,463,Control
170,2,24824,395,442,Treatment
171,2,25072,422,432,Treatment
171,1,24928,450,426,Control
172,1,25113,456,468,Control
172,2,24887,457,485,Treatment
173,2,24848,461,424,Treatment
173,1,25152,428,402,Control
174,1,25027,443,417,Control
174,2,24973,440,430,Treatment
175,1,25218,447,431,Control
175,2,24782,455,400,Treatment
176,1,25082,478,432,Control
176,2,24918,434,450,Treatment
177,2,25126,425,408,Treatment
177,1,24874,441,453,Control
178,1,25065,454,469,Control
178,2,24935,451,430,Treatment
179,2,24927,456,435,Treatment
179,1,25073,410,444,Control
180,1,25057,459,443,Control
180,2,24943,420,471,Treatment
181,2,25101,431,435,Treatment
181,1,24899,445,436,Control
182,2,24939,390,447,Treatment
182,1,25061,438,439,Control
183,1,25058,430,424,Control
183,2,24942,417,421,Treatment
184,2,25152,447,430,Treatment
184,1,24848,411,449,Control
185,1,24896,446,445,Control
185,2,25104,413,442,Treatment
186,2,24887,427,435,Treatment
186,1,25113,450,414,Control
187,2,24746,471,399,Treatment
187,1,25254,429,451,Control
188,2,24862,426,428,Treatment
188,1,25138,484,472,Control
189,2,25218,445,403,Treatment
189,1,24782,432,442,Control
190,1,24713,428,415,Control
190,2,25287,454,451,Treatment
191,2,24952,427,459,Treatment
191,1,25048,458,429,Control
192,2,24914,420,435,Treatment
192,1,25086,433,461,Control
193,1,24903,404,435,Control
193,2,25097,454,423,Treatment
194,1,25286,442,428,Control
194,2,24714,423,459,Treatment
195,2,25005,443,411,Treatment
195,1,24995,412,447,Control
196,2,25159,430,414,Treatment
196,1,24841,442,468,Control
197,2,25113,434,436,Treatment
197,1,24887,426,452,Control
198,1,25038,466,442,Control
198,2,24962,420,441,Treatment
199,2,25010,400,451,Treatment
199,1,24990,423,433,Control
200,2,25088,428,403,Treatment
200,1,24912,435,461,Control
201,2,25112,435,433,Treatment
201,1,24888,408,394,Control
202,2,24975,410,433,Treatment
202,1,25025,416,419,Control
203,2,25015,456,444,Treatment
203,1,24985,431,437,Control
204,2,24933,459,461,Treatment
204,1,25067,470,443,Control
205,2,25049,456,434,Treatment
205,1,24951,398,422,Control
206,2,25020,446,417,Treatment
206,1,24980,425,449,Control
207,1,24896,424,419,Control
207,2,25104,410,433,Treatment
208,2,24885,400,442,Treatment
208,1,25115,456,438,Control
209,1,24765,431,418,Control
209,2,25235,455,420,Treatment
210,2,24830,433,429,Treatment
210,1,25170,453,418,Control
211,1,25120,421,463,Control
211,2,24880,448,418,Treatment
212,2,24881,460,466,Treatment
212,1,25119,420,413,Control
213,2,25090,456,474,Treatment
213,1,24910,480,410,Control
214,1,25029,424,441,Control
214,2,24971,441,429,Treatment
215,1,24913,437,442,Control
215,2,25087,462,427,Treatment
216,1,24965,449,428,Control
216,2,25035,427,426,Treatment
217,2,25209,434,466,Treatment
217,1,24791,471,448,Control
218,1,24803,411,405,Control
218,2,25197,438,436,Treatment
219,1,24831,454,467,Control
219,2,25169,423,452,Treatment
220,2,24784,430,436,Treatment
220,1,25216,435,468,Control
221,2,25093,452,394,Treatment
221,1,24907,412,437,Control
222,1,25016,459,436,Control
222,2,24984,429,427,Treatment
223,1,24772,445,436,Control
223,2,25228,413,409,Treatment
224,2,25070,437,439,Treatment
224,1,24930,423,427,Control
225,1,25058,428,413,Control
225,2,24942,468,455,Treatment
226,1,25024,450,442,Control
226,2,24976,399,484,Treatment
227,1,24776,447,461,Control
227,2,25224,459,434,Treatment
228,1,24815,424,421,Control
228,2,25185,489,450,Treatment
229,2,25051,434,429,Treatment
229,1,24949,449,440,Control
230,1,24944,468,420,Control
230,2,25056,428,450,Treatment
231,2,24872,456,470,Treatment
231,1,25128,426,475,Control
232,1,24970,450,464,Control
232,2,25030,437,487,Treatment
233,2,25003,466,463,Treatment
233,1,24997,469,443,Control
234,1,25115,432,412,Control
234,2,24885,411,431,Treatment
235,2,24757,433,424,Treatment
235,1,25243,452,433,Control
236,2,25184,418,415,Treatment
236,1,24816,418,424,Control
237,1,25219,465,462,Control
237,2,24781,441,431,Treatment
238,2,25035,435,421,Treatment
238,1,24965,475,417,Control
239,1,24963,455,404,Control
239,2,25037,432,386,Treatment
240,1,25097,440,418,Control
240,2,24903,417,420,Treatment
241,2,24840,462,455,Treatment
241,1,25160,441,430,Control
242,2,25021,451,452,Treatment
242,1,24979,466,422,Control
243,1,25167,421,450,Control
243,2,24833,442,445,Treatment
244,2,24927,431,466,Treatment
244,1,25073,446,457,Control
245,2,25171,436,413,Treatment
245,1,24829,449,452,Control
246,1,25089,423,450,Control
246,2,24911,395,459,Treatment
247,1,24872,429,425,Control
247,2,25128,447,426,Treatment
248,2,25187,407,445,Treatment
248,1,24813,448,453,Control
249,1,24930,427,428,Control
249,2,25070,415,442,Treatment
250,2,24983,459,389,Treatment
250,1,25017,471,408,Control
251,2,25058,424,432,Treatment
251,1,24942,450,441,Control
252,1,24742,406,415,Control
252,2,25258,432,438,Treatment
253,1,25111,445,454,Control
253,2,24889,430,461,Treatment
254,2,24753,447,386,Treatment
254,1,25247,431,412,Control
255,2,25028,421,415,Treatment
255,1,24972,419,446,Control
256,2,25011,430,430,Treatment
256,1,24989,446,429,Control
257,2,24901,421,408,Treatment
257,1,25099,448,405,Control
258,2,24890,428,452,Treatment
258,1,25110,450,423,Control
259,2,25105,451,453,Treatment
259,1,24895,469,445,Control
260,2,24783,445,450,Treatment
260,1,25217,448,422,Control
261,2,25195,434,388,Treatment
261,1,24805,431,443,Control
262,1,25008,446,438,Control
262,2,24992,438,449,Treatment
263,1,25041,428,434,Control
263,2,24959,468,471,Treatment
264,1,24983,438,417,Control
264,2,25017,434,447,Treatment
265,2,25112,433,453,Treatment
265,1,24888,446,473,Control
266,1,24915,471,444,Control
266,2,25085,426,444,Treatment
267,2,25013,416,437,Treatment
267,1,24987,424,440,Control
268,1,25022,453,456,Control
268,2,24978,429,413,Treatment
269,1,24869,403,407,Control
269,2,25131,467,426,Treatment
270,1,25050,455,456,Control
270,2,24950,403,424,Treatment
271,2,24840,424,433,Treatment
271,1,25160,436,465,Control
272,2,24860,396,441,Treatment
272,1,25140,430,438,Control
273,2,25172,402,455,Treatment
273,1,24828,440,457,Control
274,1,25131,418,421,Control
274,2,24869,407,461,Treatment
275,2,25070,414,439,Treatment
275,1,24930,446,435,Control
276,2,25050,431,446,Treatment
276,1,24950,416,437,Control
277,1,24906,454,466,Control
277,2,25094,446,454,Treatment
278,1,24811,442,457,Control
278,2,25189,448,438,Treatment
279,1,24887,442,418,Control
279,2,25113,425,479,Treatment
280,2,24826,436,420,Treatment
280,1,25174,436,441,Control
281,1,24952,427,462,Control
281,2,25048,413,415,Treatment
282,1,25119,431,436,Control
282,2,24881,452,450,Treatment
283,1,25096,400,422,Control
283,2,24904,454,460,Treatment
284,2,24949,449,470,Treatment
284,1,25051,440,479,Control
285,2,25032,433,415,Treatment
285,1,24968,444,438,Control
286,1,24943,452,424,Control
286,2,25057,445,397,Treatment
287,2,24988,426,468,Treatment
287,1,25012,461,473,Control
288,1,25107,404,435,Control
288,2,24893,435,442,Treatment
289,2,25241,467,452,Treatment
289,1,24759,438,441,Control
290,2,24972,452,446,Treatment
290,1,25028,442,469,Control
291,2,25037,424,472,Treatment
291,1,24963,435,442,Control
292,1,24751,426,424,Control
292,2,25249,454,465,Treatment
293,2,24966,459,414,Treatment
293,1,25034,430,423,Control
294,1,24969,422,444,Control
294,2,25031,415,441,Treatment
295,2,25088,426,430,Treatment
295,1,24912,471,419,Control
296,2,24930,456,399,Treatment
296,1,25070,406,443,Control
297,2,24884,438,447,Treatment
297,1,25116,453,435,Control
298,2,25061,442,411,Treatment
298,1,24939,476,441,Control
299,2,25061,413,471,Treatment
299,1,24939,421,413,Control
300,1,24896,445,460,Control
300,2,25104,440,427,Treatment
301,2,25099,416,427,Treatment
301,1,24901,400,456,Control
302,2,25046,440,432,Treatment
302,1,24954,436,437,Control
303,2,25048,438,454,Treatment
303,1,24952,416,439,Control
304,1,25069,414,475,Control
304,2,24931,436,420,Treatment
305,2,25055,438,413,Treatment
305,1,24945,473,428,Control
306,2,25183,433,450,Treatment
306,1,24817,442,448,Control
307,2,25063,437,459,Treatment
307,1,24937,417,467,Control
308,1,25125,428,429,Control
308,2,24875,439,460,Treatment
309,2,25020,415,440,Treatment
309,1,24980,442,410,Control
310,2,24916,431,428,Treatment
310,1,25084,500,432,Control
311,1,25029,428,426,Control
311,2,24971,428,446,Treatment
312,2,24894,456,420,Treatment
312,1,25106,446,418,Control
313,2,25059,462,398,Treatment
313,1,24941,403,450,Control
314,1,25061,409,450,Control
314,2,24939,401,395,Treatment
315,2,24820,404,419,Treatment
315,1,25180,421,485,Control
316,2,24987,405,435,Treatment
316,1,25013,435,431,Control
317,1,25066,448,418,Control
317,2,24934,449,445,Treatment
318,2,25120,435,446,Treatment
318,1,24880,434,469,Control
319,1,25066,408,415,Control
319,2,24934,463,452,Treatment
320,2,24986,413,443,Treatment
320,1,25014,429,458,Control
321,2,25015,429,391,Treatment
321,1,24985,432,417,Control
322,1,25209,430,418,Control
322,2,24791,442,445,Treatment
323,2,24961,439,454,Treatment
323,1,25039,423,431,Control
324,1,24816,430,473,Control
324,2,25184,469,452,Treatment
325,2,25027,429,470,Treatment
325,1,24973,462,449,Control
326,2,25274,443,454,Treatment
326,1,24726,470,415,Control
327,1,25088,447,464,Control
327,2,24912,444,419,Treatment
328,1,25100,425,442,Control
328,2,24900,458,482,Treatment
329,1,25261,458,446,Control
329,2,24739,446,471,Treatment
330,1,25076,461,401,Control
330,2,24924,421,414,Treatment
331,2,24829,415,409,Treatment
331,1,25171,443,488,Control
332,2,25076,407,419,Treatment
332,1,24924,463,392,Control
333,2,24976,452,446,Treatment
333,1,25024,397,460,Control
334,1,24814,441,410,Control
334,2,25186,393,457,Treatment
335,1,25018,446,475,Control
335,2,24982,408,428,Treatment
336,1,25096,456,419,Control
336,2,24904,422,409,Treatment
337,2,25176,481,428,Treatment
337,1,24824,427,428,Control
338,1,24952,441,464,Control
338,2,25048,409,457,Treatment
339,1,24829,430,450,Control
339,2,25171,473,450,Treatment
340,2,24946,444,443,Treatment
340,1,25054,417,436,Control
341,1,24869,445,439,Control
341,2,25131,439,430,Treatment
342,2,24992,463,451,Treatment
342,1,25008,483,449,Control
343,1,24969,451,450,Control
343,2,25031,441,431,Treatment
344,1,25011,437,446,Control
344,2,24989,440,447,Treatment
345,2,24973,434,460,Treatment
345,1,25027,463,459,Control
346,1,24989,436,445,Control
346,2,25011,429,412,Treatment
347,1,25150,438,448,Control
347,2,24850,432,415,Treatment
348,1,25050,470,443,Control
348,2,24950,427,440,Treatment
349,2,25292,438,429,Treatment
349,1,24708,435,436,Control
350,1,25089,451,410,Control
350,2,24911,453,444,Treatment
351,2,25419,445,440,Treatment
351,1,24581,445,366,Control
352,1,24916,440,414,Control
352,2,25084,455,442,Treatment
353,1,25085,425,459,Control
353,2,24915,438,439,Treatment
354,2,25024,419,407,Treatment
354,1,24976,421,474,Control
355,1,25149,460,440,Control
355,2,24851,422,425,Treatment
356,2,24941,471,412,Treatment
356,1,25059,435,445,Control
357,1,24804,403,448,Control
357,2,25196,404,472,Treatment
358,1,24882,440,429,Control
358,2,25118,444,445,Treatment
359,2,24877,449,483,Treatment
359,1,25123,456,465,Control
360,2,25090,439,470,Treatment
360,1,24910,474,398,Control
361,2,25055,428,465,Treatment
361,1,24945,461,444,Control
362,2,24938,429,445,Treatment
362,1,25062,440,442,Control
363,2,24904,411,426,Treatment
363,1,25096,417,449,Control
364,1,24915,441,435,Control
364,2,25085,419,417,Treatment
365,1,24975,423,430,Control
365,2,25025,429,412,Treatment
366,2,24958,428,417,Treatment
366,1,25042,408,432,Control
367,2,25047,449,456,Treatment
367,1,24953,432,463,Control
368,1,24820,459,425,Control
368,2,25180,415,424,Treatment
369,1,24997,470,440,Control
369,2,25003,439,414,Treatment
370,1,25056,411,422,Control
370,2,24944,421,436,Treatment
371,1,25013,450,422,Control
371,2,24987,426,448,Treatment
372,2,24945,419,465,Treatment
372,1,25055,402,407,Control
373,2,24923,439,426,Treatment
373,1,25077,433,412,Control
374,2,24942,441,446,Treatment
374,1,25058,406,413,Control
375,2,24958,421,457,Treatment
375,1,25042,433,441,Control
376,1,25180,467,466,Control
376,2,24820,441,428,Treatment
377,2,24884,422,434,Treatment
377,1,25116,428,426,Control
378,2,24967,432,438,Treatment
378,1,25033,427,460,Control
379,2,24998,404,465,Treatment
379,1,25002,418,418,Control
380,2,25010,425,443,Treatment
380,1,24990,416,451,Control
381,1,24861,432,442,Control
381,2,25139,429,474,Treatment
382,2,25036,465,453,Treatment
382,1,24964,430,390,Control
383,1,25042,399,435,Control
383,2,24958,447,454,Treatment
384,2,25108,428,436,Treatment
384,1,24892,427,471,Control
385,1,25183,450,485,Control
385,2,24817,459,383,Treatment
386,2,25055,445,439,Treatment
386,1,24945,440,463,Control
387,2,24917,455,435,Treatment
387,1,25083,445,435,Control
388,2,25031,447,435,Treatment
388,1,24969,458,497,Control
389,1,24998,416,432,Control
389,2,25002,419,428,Treatment
390,1,24999,454,441,Control
390,2,25001,431,420,Treatment
391,2,24881,396,434,Treatment
391,1,25119,435,415,Control
392,1,24826,431,455,Control
392,2,25174,418,446,Treatment
393,1,24868,442,449,Control
393,2,25132,412,442,Treatment
394,1,25055,437,407,Control
394,2,24945,440,431,Treatment
395,2,25067,456,377,Treatment
395,1,24933,415,406,Control
396,1,25005,428,452,Control
396,2,24995,427,424,Treatment
397,1,24985,425,435,Control
397,2,25015,447,432,Treatment
398,1,24969,453,462,Control
398,2,25031,437,435,Treatment
399,2,24910,425,467,Treatment
399,1,25090,463,462,Control
400,2,25151,413,436,Treatment
400,1,24849,404,442,Control
401,1,25047,465,430,Control
401,2,24953,467,424,Treatment
402,2,24979,439,410,Treatment
402,1,25021,443,440,Control
403,1,24969,427,417,Control
403,2,25031,429,406,Treatment
404,2,24812,456,418,Treatment
404,1,25188,460,439,Control
405,1,24980,426,411,Control
405,2,25020,438,408,Treatment
406,1,24967,444,443,Control
406,2,25033,448,441,Treatment
407,1,24991,424,450,Control
407,2,25009,410,454,Treatment
408,1,25033,447,390,Control
408,2,24967,432,424,Treatment
409,2,25175,407,431,Treatment
409,1,24825,446,385,Control
410,2,25098,463,389,Treatment
410,1,24902,435,434,Control
411,2,25047,473,381,Treatment
411,1,24953,462,439,Control
412,1,24855,427,452,Control
412,2,25145,444,435,Treatment
413,1,24875,404,425,Control
413,2,25125,395,426,Treatment
414,1,24825,454,421,Control
414,2,25175,464,434,Treatment
415,2,24950,427,453,Treatment
415,1,25050,449,412,Control
416,2,24963,431,456,Treatment
416,1,25037,433,453,Control
417,2,25065,446,475,Treatment
417,1,24935,490,446,Control
418,1,25180,448,427,Control
418,2,24820,391,446,Treatment
419,2,24948,450,416,Treatment
419,1,25052,455,433,Control
420,2,24873,419,447,Treatment
420,1,25127,461,452,Control
421,1,25172,422,397,Control
421,2,24828,442,443,Treatment
422,1,24992,427,436,Control
422,2,25008,422,457,Treatment
423,1,24942,484,441,Control
423,2,25058,377,429,Treatment
424,1,24960,435,430,Control
424,2,25040,448,471,Treatment
425,1,24997,447,429,Control
425,2,25003,439,385,Treatment
426,1,24791,419,420,Control
426,2,25209,453,440,Treatment
427,1,25014,411,429,Control
427,2,24986,415,439,Treatment
428,1,25029,404,412,Control
428,2,24971,426,437,Treatment
429,1,24878,451,465,Control
429,2,25122,431,427,Treatment
430,1,24851,478,459,Control
430,2,25149,436,472,Treatment
431,1,24987,406,463,Control
431,2,25013,450,458,Treatment
432,2,24867,443,400,Treatment
432,1,25133,448,422,Control
433,2,25008,441,459,Treatment
433,1,24992,440,439,Control
434,1,25129,469,449,Control
434,2,24871,449,465,Treatment
435,1,25121,418,441,Control
435,2,24879,442,471,Treatment
436,2,24775,437,436,Treatment
436,1,25225,436,470,Control
437,2,25032,438,386,Treatment
437,1,24968,417,401,Control
438,1,25113,477,449,Control
438,2,24887,470,460,Treatment
439,1,25098,433,431,Control
439,2,24902,445,399,Treatment
440,2,24952,466,428,Treatment
440,1,25048,440,411,Control
441,2,24984,437,462,Treatment
441,1,25016,413,440,Control
442,1,24931,397,388,Control
442,2,25069,403,441,Treatment
443,2,24868,447,442,Treatment
443,1,25132,396,424,Control
444,1,25062,454,446,Control
444,2,24938,441,444,Treatment
445,2,24843,429,414,Treatment
445,1,25157,389,466,Control
446,1,25011,419,411,Control
446,2,24989,387,442,Treatment
447,2,25085,426,481,Treatment
447,1,24915,472,403,Control
448,2,25069,440,429,Treatment
448,1,24931,430,446,Control
449,2,24984,415,375,Treatment
449,1,25016,434,486,Control
450,1,25064,444,424,Control
450,2,24936,430,460,Treatment
451,2,25014,472,402,Treatment
451,1,24986,448,433,Control
452,2,24932,462,447,Treatment
452,1,25068,435,420,Control
453,2,25305,441,491,Treatment
453,1,24695,436,454,Control
454,2,25111,402,438,Treatment
454,1,24889,436,417,Control
455,1,25095,437,395,Control
455,2,24905,441,437,Treatment
456,2,25074,442,431,Treatment
456,1,24926,401,426,Control
457,1,24975,411,412,Control
457,2,25025,445,451,Treatment
458,2,25123,449,410,Treatment
458,1,24877,434,457,Control
459,2,24951,432,448,Treatment
459,1,25049,452,415,Control
460,1,24977,429,425,Control
460,2,25023,447,412,Treatment
461,1,24741,436,403,Control
461,2,25259,451,444,Treatment
462,1,25017,436,403,Control
462,2,24983,452,398,Treatment
463,1,25109,415,450,Control
463,2,24891,432,469,Treatment
464,1,25030,465,421,Control
464,2,24970,458,467,Treatment
465,2,24981,395,465,Treatment
